"writeup_id","skill_name","proficiency_level","practice_value"
"htb-usage","SQL Injection (manual detection and automated exploitation)","intermediate","high"
"htb-usage","File upload filter bypass techniques","intermediate","high"
"htb-usage","Binary analysis with strings command","intermediate","high"
"htb-usage","7zip symlink abuse via listfile exploitation","intermediate","high"
"htb-usage","Credential hunting in configuration files","intermediate","high"
"htb-usage","Password reuse identification","intermediate","high"
"oscp-labs-secura","Local vs Domain authentication distinction","intermediate","high"
"oscp-labs-secura","Chisel reverse port forwarding for localhost-bound services","intermediate","high"
"oscp-labs-secura","Mimikatz non-interactive execution for constrained shells","intermediate","high"
"oscp-labs-secura","MySQL/MariaDB credential enumeration","intermediate","high"
"oscp-labs-secura","GPO permission enumeration via icacls","intermediate","high"
"oscp-labs-secura","SharpGPOAbuse for privilege escalation","intermediate","high"
"oscp-labs-secura","Windows token refresh after group membership changes","intermediate","high"
"oscp-labs-secura","Multi-machine credential reuse patterns","intermediate","high"
"oscp-corp-dcsync","BloodHound advanced queries for privilege escalation paths","intermediate","high"
"oscp-corp-dcsync","Service session credential harvesting methodology","intermediate","high"
"oscp-corp-dcsync","Evil-WinRM file upload and interactive PowerShell usage","intermediate","high"
"oscp-corp-dcsync","Mimikatz privilege::debug and sekurlsa::logonpasswords syntax","intermediate","high"
"oscp-corp-dcsync","Pass-the-Hash authentication without plaintext passwords","intermediate","high"
"oscp-corp-dcsync","DCSync attack execution and domain credential extraction","intermediate","high"
"oscp-corp-dcsync","Lateral movement decision-making (WinRM vs PSExec vs WMI)","intermediate","high"
"oscp-corp-dcsync","Time management for AD enumeration (BloodHound budget allocation)","intermediate","high"
"oscp-corp-dcsync","Manual JSON parsing as BloodHound alternative (jq queries)","intermediate","high"
